plant,rule,axis,factor,kp,ki,kd,survived,rise_s,settle_s,overshoot_pct,iae,u_tv
easy L/T=0.1,IMC-lambda,delay,0.70,0.95455,0.90909,0.04545,1,1.0500,1.8500,0.154,0.54632,0.5911
easy L/T=0.1,IMC-lambda,delay,1.00,0.95455,0.90909,0.04545,1,0.9800,1.7600,0.207,0.54828,0.6456
easy L/T=0.1,IMC-lambda,delay,1.40,0.95455,0.90909,0.04545,1,0.8900,1.6200,0.306,0.55180,0.7183
easy L/T=0.1,IMC-lambda,delay,1.70,0.95455,0.90909,0.04545,1,0.8100,1.5100,0.413,0.55540,0.7729
easy L/T=0.1,IMC-lambda,delay,2.00,0.95455,0.90909,0.04545,1,0.7300,1.3900,0.566,0.56028,0.8274
typical L/T=0.3,Ziegler-Nichols,gain,0.50,1.76705,3.26494,0.23909,1,0.5500,4.0000,21.803,0.88396,1.4910
typical L/T=0.3,Ziegler-Nichols,gain,0.70,1.76705,3.26494,0.23909,1,0.3700,3.2300,24.226,0.76021,1.7642
typical L/T=0.3,Ziegler-Nichols,gain,1.00,1.76705,3.26494,0.23909,1,0.2300,1.9000,32.626,0.66547,2.5930
typical L/T=0.3,Ziegler-Nichols,gain,1.40,1.76705,3.26494,0.23909,0,0.1600,7.5500,62.347,1.13934,14.7727
typical L/T=0.3,Ziegler-Nichols,gain,1.70,1.76705,3.26494,0.23909,0,0.1300,25.0000,92.171,14.08100,232.9566
typical L/T=0.3,Ziegler-Nichols,gain,2.00,1.76705,3.26494,0.23909,0,0.1100,25.0000,119.162,17.81780,248.5298
typical L/T=0.3,Ziegler-Nichols,tau,0.50,1.76705,3.26494,0.23909,0,0.1200,25.0000,87.205,15.03393,252.1752
typical L/T=0.3,Ziegler-Nichols,tau,0.70,1.76705,3.26494,0.23909,1,0.1700,7.7300,51.907,1.09679,15.1031
typical L/T=0.3,Ziegler-Nichols,tau,1.00,1.76705,3.26494,0.23909,1,0.2300,1.9000,32.626,0.66547,2.5930
typical L/T=0.3,Ziegler-Nichols,tau,1.40,1.76705,3.26494,0.23909,1,0.3300,3.3500,32.938,0.83897,2.2225
typical L/T=0.3,Ziegler-Nichols,tau,1.70,1.76705,3.26494,0.23909,1,0.4000,3.8000,36.929,0.98519,2.4685
typical L/T=0.3,Ziegler-Nichols,tau,2.00,1.76705,3.26494,0.23909,1,0.4600,5.3700,39.609,1.13242,2.7247
typical L/T=0.3,Ziegler-Nichols,delay,0.50,1.76705,3.26494,0.23909,1,0.3800,2.1900,17.406,0.49396,2.5467
typical L/T=0.3,Ziegler-Nichols,delay,0.70,1.76705,3.26494,0.23909,1,0.2500,2.1000,21.334,0.53554,2.5220
typical L/T=0.3,Ziegler-Nichols,delay,1.00,1.76705,3.26494,0.23909,1,0.2300,1.9000,32.626,0.66547,2.5930
typical L/T=0.3,Ziegler-Nichols,delay,1.40,1.76705,3.26494,0.23909,0,0.2300,5.5900,63.849,1.22651,5.9605
typical L/T=0.3,Ziegler-Nichols,delay,1.70,1.76705,3.26494,0.23909,0,0.2300,25.0000,85.269,13.89357,84.3511
typical L/T=0.3,Ziegler-Nichols,delay,2.00,1.76705,3.26494,0.23909,0,0.2300,25.0000,102.097,18.89573,83.1529
typical L/T=0.3,Tyreus-Luyben,gain,0.50,1.32529,0.55652,0.22771,1,4.2300,10.1200,0.000,1.78597,1.0153
typical L/T=0.3,Tyreus-Luyben,gain,0.70,1.32529,0.55652,0.22771,1,2.6000,7.8000,0.000,1.27327,1.4449
typical L/T=0.3,Tyreus-Luyben,gain,1.00,1.32529,0.55652,0.22771,1,1.0500,5.7200,0.000,0.88839,2.7068
typical L/T=0.3,Tyreus-Luyben,gain,1.40,1.32529,0.55652,0.22771,1,0.2400,5.0500,11.649,0.75114,8.0518
typical L/T=0.3,Tyreus-Luyben,gain,1.70,1.32529,0.55652,0.22771,1,0.1900,24.9700,42.261,5.15540,96.8038
typical L/T=0.3,Tyreus-Luyben,gain,2.00,1.32529,0.55652,0.22771,0,0.1600,25.0000,92.895,17.24864,262.4122
