scenario,k,cmd,rc,output,setpoint,error,p,i,d,ff,unsat,flags,last_error
aw_none,1,u,0,1,10,10,20,3.0000000000000004,0,0,23,5,0
aw_none,2,u,0,1,10,9.9000000000000004,19.800000000000001,5.9700000000000006,0,0,25.770000000000003,5,0
aw_none,3,u,0,1,10,9.8000000000000007,19.600000000000001,8.9100000000000019,0,0,28.510000000000005,5,0
aw_none,4,u,0,1,10,9.6999999999999993,19.399999999999999,11.820000000000002,0,0,31.219999999999999,5,0
aw_none,5,u,0,1,10,9.5999999999999996,19.199999999999999,14.700000000000003,0,0,33.900000000000006,5,0
aw_none,6,u,0,1,10,9.5,19,17.550000000000004,0,0,36.550000000000004,5,0
aw_none,7,u,0,1,0,-0.5,-1,17.400000000000006,0,0,16.400000000000006,5,0
aw_none,8,u,0,1,0,-0.40000000000000002,-0.80000000000000004,17.280000000000005,0,0,16.480000000000004,5,0
aw_none,9,u,0,1,0,-0.29999999999999999,-0.59999999999999998,17.190000000000005,0,0,16.590000000000003,5,0
aw_none,10,u,0,1,0,-0.20000000000000001,-0.40000000000000002,17.130000000000006,0,0,16.730000000000008,5,0
aw_none,11,u,0,1,0,-0.10000000000000001,-0.20000000000000001,17.100000000000005,0,0,16.900000000000006,5,0
aw_none,12,u,0,1,0,0,0,17.100000000000005,0,0,17.100000000000005,5,0
aw_clamp,0,init,0,0,nan,nan,nan,nan,nan,nan,nan,0,0
aw_clamp,1,u,0,1,10,10,20,1,0,0,21,13,0
aw_clamp,2,u,0,1,10,9.9000000000000004,19.800000000000001,1,0,0,20.800000000000001,13,0
aw_clamp,3,u,0,1,10,9.8000000000000007,19.600000000000001,1,0,0,20.600000000000001,13,0
aw_clamp,4,u,0,1,10,9.6999999999999993,19.399999999999999,1,0,0,20.399999999999999,13,0
aw_clamp,5,u,0,1,10,9.5999999999999996,19.199999999999999,1,0,0,20.199999999999999,13,0
aw_clamp,6,u,0,1,10,9.5,19,1,0,0,20,13,0
aw_clamp,7,u,0,-0.15000000000000002,0,-0.5,-1,0.84999999999999998,0,0,-0.15000000000000002,4,0
aw_clamp,8,u,0,-0.070000000000000062,0,-0.40000000000000002,-0.80000000000000004,0.72999999999999998,0,0,-0.070000000000000062,4,0
aw_clamp,9,u,0,0.040000000000000036,0,-0.29999999999999999,-0.59999999999999998,0.64000000000000001,0,0,0.040000000000000036,4,0
aw_clamp,10,u,0,0.17999999999999994,0,-0.20000000000000001,-0.40000000000000002,0.57999999999999996,0,0,0.17999999999999994,4,0
aw_clamp,11,u,0,0.34999999999999992,0,-0.10000000000000001,-0.20000000000000001,0.54999999999999993,0,0,0.34999999999999992,4,0
aw_clamp,12,u,0,0.54999999999999993,0,0,0,0.54999999999999993,0,0,0.54999999999999993,4,0
aw_conditional,0,init,0,0,nan,nan,nan,nan,nan,nan,nan,0,0
aw_conditional,1,u,0,1,10,10,20,0,0,0,20,9,0
aw_conditional,2,u,0,1,10,9.9000000000000004,19.800000000000001,0,0,0,19.800000000000001,9,0
aw_conditional,3,u,0,1,10,9.8000000000000007,19.600000000000001,0,0,0,19.600000000000001,9,0
aw_conditional,4,u,0,1,10,9.6999999999999993,19.399999999999999,0,0,0,19.399999999999999,9,0
aw_conditional,5,u,0,1,10,9.5999999999999996,19.199999999999999,0,0,0,19.199999999999999,9,0
aw_conditional,6,u,0,1,10,9.5,19,0,0,0,19,9,0
aw_conditional,7,u,0,-1,0,-0.5,-1,0,0,0,-1,8,0
aw_conditional,8,u,0,-0.92000000000000004,0,-0.40000000000000002,-0.80000000000000004,-0.12000000000000002,0,0,-0.92000000000000004,4,0
aw_conditional,9,u,0,-0.81000000000000005,0,-0.29999999999999999,-0.59999999999999998,-0.21000000000000002,0,0,-0.81000000000000005,4,0
aw_conditional,10,u,0,-0.67000000000000004,0,-0.20000000000000001,-0.40000000000000002,-0.27000000000000002,0,0,-0.67000000000000004,4,0
aw_conditional,11,u,0,-0.5,0,-0.10000000000000001,-0.20000000000000001,-0.30000000000000004,0,0,-0.5,4,0
aw_conditional,12,u,0,-0.30000000000000004,0,0,0,-0.30000000000000004,0,0,-0.30000000000000004,4,0
aw_conditional_escape,0,init,0,0,nan,nan,nan,nan,nan,nan,nan,0,0
aw_conditional_escape,1,u,0,2,5,5,5,0,0,0,5,9,0
aw_conditional_escape,2,u,0,2,5,5,5,0,0,0,5,9,0
aw_conditional_escape,3,u,0,2,5,5,5,0,0,0,5,9,0
aw_conditional_escape,4,u,0,-2,-5,-5,-5,0,0,0,-5,10,0
aw_conditional_escape,5,u,0,-2,-5,-5,-5,0,0,0,-5,10,0
aw_conditional_escape,6,u,0,-2,-5,-5,-5,0,0,0,-5,10,0
aw_back_calculation,0,init,0,0,nan,nan,nan,nan,nan,nan,nan,0,0
aw_back_calculation,1,u,0,1,10,10,20,-0.30000000000000027,0,0,23,5,0
aw_back_calculation,2,u,0,1,10,9.9000000000000004,19.800000000000001,-0.55050000000000043,0,0,22.470000000000002,5,0
aw_back_calculation,3,u,0,1,10,9.8000000000000007,19.600000000000001,-0.75892500000000052,0,0,21.989500000000003,5,0
aw_back_calculation,4,u,0,1,10,9.6999999999999993,19.399999999999999,-0.9315862500000005,0,0,21.551074999999997,5,0
aw_back_calculation,5,u,0,1,10,9.5999999999999996,19.199999999999999,-1,0,0,21.14841375,5,0
aw_back_calculation,6,u,0,1,10,9.5,19,-1,0,0,20.850000000000001,5,0
aw_back_calculation,7,u,0,-1,0,-0.5,-1,-0.97749999999999992,0,0,-2.1499999999999999,6,0
aw_back_calculation,8,u,0,-1,0,-0.40000000000000002,-0.80000000000000004,-0.96287499999999993,0,0,-1.8975,6,0
aw_back_calculation,9,u,0,-1,0,-0.29999999999999999,-0.59999999999999998,-0.95494374999999998,0,0,-1.6528749999999999,6,0
aw_back_calculation,10,u,0,-1,0,-0.20000000000000001,-0.40000000000000002,-0.95270218750000002,0,0,-1.4149437499999999,6,0
aw_back_calculation,11,u,0,-1,0,-0.10000000000000001,-0.20000000000000001,-0.95529685937499997,0,0,-1.1827021875000001,6,0
aw_back_calculation,12,u,0,-0.95529685937499997,0,0,0,-0.95529685937499997,0,0,-0.95529685937499997,4,0
aw_back_calc_kt,0,init,0,0,nan,nan,nan,nan,nan,nan,nan,0,0
aw_back_calc_kt,1,u,0,1,10,10,20,-1,0,0,23,5,0
aw_back_calc_kt,2,u,0,1,10,9.9000000000000004,19.800000000000001,-1,-0.33333333333333331,0,21.436666666666671,5,0
